site_no,rbiValue_1970,rbiValue_2020,tau,sl,S,D,varS,estimates.Sen's slope,statistic.z,p.value,null.value.z,alternative,method,parameter.n,conf.int1,conf.int2,binary_pvalue,slope_greater0,highlight
01053500,0.040742344145329,0.0590954432870763,0.0677551031112671,0.492764592170715,83,1225,14291.6669921875,9.41742723930726e-5,0.685918336986683,0.49276460624325,0,two.sided,Sen's slope,50,-2.62623582898829e-4,4.2047173214275e-4,non-significant,true,true
01054000,0.048317072032118,0.0868608334361759,0.348571419715881,3.66091728210449e-4,427,1225,14291.6669921875,7.25700298702089e-4,3.5634294092235,3.66041162108066e-4,0,two.sided,Sen's slope,50,3.43383167437965e-4,0.00106028636448026,significant,true,true
01054200,0.335120054010199,0.524022672378375,0.211428567767143,0.0309175252914429,259,1225,14291.6669921875,0.00161043351937822,2.15813330417761,0.0309174690613433,0,two.sided,Sen's slope,50,1.31693905593321e-4,0.00329089708521282,significant,true,true
01054500,0.11090609505152,0.164375304588709,0.186938777565956,0.056496262550354,229,1225,14291.6669921875,4.8018023103464e-4,1.9071875711337,0.0564963023813092,0,two.sided,Sen's slope,50,-2.43009736110005e-5,0.00100135844005104,non-significant,true,true
01055000,0.323633984869501,0.437366739018714,0.203265309333801,0.0380343198776245,249,1225,14291.6669921875,0.00135866168057272,2.07448472649631,0.0380343157958867,0,two.sided,Sen's slope,50,8.65577288973962e-5,0.00266861072105562,significant,true,true
01057000,0.251450625792579,0.344060200004651,0.129795923829079,0.186285614967346,159,1225,14291.6669921875,7.05620258519071e-4,1.32164752736458,0.186285549238115,0,two.sided,Sen's slope,50,-3.21707304099072e-4,0.00164611837110448,non-significant,true,true
01059000,0.187001974112865,0.163502386989002,-0.234285712242126,0.0167409051209688,-287,1225,14291.6669921875,-3.67050978855311e-4,-2.39234932168526,0.0167409004574302,0,two.sided,Sen's slope,50,-6.36625025040644e-4,-9.65709380998001e-5,significant,false,true
01064500,0.224916090078941,0.291565454220428,0.115102037787437,0.24156665802002,141,1225,14291.6669921875,6.20547460438175e-4,1.1710800875382401,0.241566586968973,0,two.sided,Sen's slope,50,-4.21607280331743e-4,0.0017289658067595,non-significant,true,true
01066000,0.05537611975124,0.07416720876278,0.0367346927523613,0.712833166122437,45,1225,14291.6669921875,5.830293038388e-5,0.368053741797733,0.712833162190734,0,two.sided,Sen's slope,50,-1.42769307210453e-4,2.50191089223262e-4,non-significant,true,true
01073000,0.173544131580865,0.312714075113306,0.147755101323128,0.132150769233704,181,1225,14291.6669921875,8.29839820478514e-4,1.50567439826345,0.132150779291224,0,two.sided,Sen's slope,50,-2.31411178084611e-4,0.00196872715552834,non-significant,true,true
01073500,0.0987601474419258,0.151799999500797,0.0775510221719742,0.43169379234314,95,1225,14291.6669921875,2.04193422204455e-4,0.786296630204247,0.431693726220145,0,two.sided,Sen's slope,50,-2.73584776969575e-4,7.62149849473871e-4,non-significant,true,true
01076500,0.223083141679226,0.33111327446532,0.217959180474281,0.0260777473449707,267,1225,14291.6669921875,0.00107528287810107,2.22505216632266,0.0260777363536723,0,two.sided,Sen's slope,50,1.12996628112128e-4,0.0018971396895621,significant,true,true
01078000,0.176217522544972,0.264325079716862,0.0563265308737755,0.569484829902649,69,1225,14291.6669921875,1.60759270365666e-4,0.568810328232859,0.569484864788368,0,two.sided,Sen's slope,50,-4.79617667026354e-4,8.76418655629328e-4,non-significant,true,true
01081000,0.0544333187600545,0.0555608893994728,-0.0253061223775148,0.80185604095459,-31,1225,14291.6669921875,-2.35510578308153e-5,-0.250945733043909,0.801856065566224,0,two.sided,Sen's slope,50,-1.98843424387569e-4,1.61428198452365e-4,non-significant,false,true
01092000,0.12248150296671,0.145477631532579,0.0530612245202065,0.5924072265625,65,1225,14291.6669921875,6.62392091990358e-5,0.535350897160338,0.592407237522452,0,two.sided,Sen's slope,50,-1.97731873195545e-4,3.17747116869085e-4,non-significant,true,true
01094500,0.166677852348993,0.244740077461536,0.146122455596924,0.136501908302307,179,1225,14291.6669921875,7.08739120437399e-4,1.48894468272719,0.136501935965376,0,two.sided,Sen's slope,50,-1.83712202086547e-4,0.00176979919210983,non-significant,true,true
01096000,0.162403233937074,0.234280851653439,-0.0138775510713458,0.893530905246735,-17,1225,14291.6669921875,-9.73818771187348e-5,-0.133837724290085,0.893530895868823,0,two.sided,Sen's slope,50,-8.99789992911557e-4,8.31457401870474e-4,non-significant,false,true
01096500,0.321449093486909,0.153111114100339,-0.435102045536041,8.58285784488544e-6,-533,1225,14291.6669921875,-0.00142221065344603,-4.45010433264531,8.58285831412593e-6,0,two.sided,Sen's slope,50,-0.0020429820524592,-8.34397129666668e-4,significant,false,true
01097000,0.0824192799531912,0.138404659039464,0.346938788890839,3.90052795410156e-4,425,1225,14291.6669921875,5.52439174107889e-4,3.54669969368724,3.90088977962585e-4,0,two.sided,Sen's slope,50,2.75449800531602e-4,8.79956487275676e-4,significant,true,true
01097300,0.151261366668719,0.257836058855016,0.335510194301605,6.04510307312012e-4,411,1225,14291.6669921875,0.00126726477897933,3.42959168493342,6.04490165815662e-4,0,two.sided,Sen's slope,50,5.86412723356001e-4,0.00197217372402378,significant,true,true
01099500,0.0476000280666908,0.0514206606775246,0.240816324949265,0.0139220952987671,295,1225,14291.6669921875,2.44538834887829e-4,2.4592681838303,0.0139220575638396,0,two.sided,Sen's slope,50,6.58700528482749e-5,4.2591271209111e-4,significant,true,true
01100000,0.0998781486586365,0.115825532898228,-0.0220408160239458,0.827829360961914,-27,1225,14291.6669921875,-3.89843565749472e-5,-0.217486301971387,0.827829380976393,0,two.sided,Sen's slope,50,-2.67112765571623e-4,2.08839912830148e-4,non-significant,false,true
