site_no,estimates,statistic,p.value,null.value,alternative,data.name,method,parameter,conf.int,conf.int2
01102000,0.000109621296879243,0.552080612696599,0.580893124138696,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000206831124897183,0.000483772777217161
01102500,-0.0000556333279599502,-0.117108008753824,0.90677446334059,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00105276159812986,0.000758189094551971
01103500,0.0000183853187543335,0.234216017507648,0.814817280649534,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000153254279678579,0.000224614624335315
01104200,-0.000284522285919359,-2.25851159739518,0.0239137823614939,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00049511615797201,-0.0000200888880259089
01104500,-0.00026096667066694,-2.27524131293144,0.0228914578254205,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00048176293969474,-0.0000339830246533336
01105000,0.000223739298471639,1.23799894968328,0.215716450276169,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000140863447556497,0.00062571766888919
01105500,0.000668374420469143,2.89424078777308,0.00380076577941567,0,two.sided,trend_timeSeries,Sen's slope,50,0.000230677897178126,0.00105133577746807
01105600,0.00184650818782208,2.57637619258413,0.00998419538549779,0,two.sided,trend_timeSeries,Sen's slope,50,0.000490463306662044,0.00309887529150674
01105730,-0.00000627277650752523,-0.0334594310725211,0.973308217017883,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000463525281646147,0.00041586856261604
01109000,0.000225662182036,1.1041612253932,0.269523206273611,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000180836885463824,0.000591248954976519
01109060,0.00023590153234976,1.23799894968328,0.215716450276169,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000157182959845401,0.000571667995088657
01110000,0.000842905865867471,3.14518652081699,0.0016598097013283,0,two.sided,trend_timeSeries,Sen's slope,50,0.000326774367925824,0.0013188195466613
01111500,0.00013745465147141,0.317864595188951,0.75058764974237,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000598855059807233,0.000820944891450375
01112500,0.000055559107568117,0.200756586435127,0.840888910748716,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000378222718383728,0.000570672510357457
01114500,0.00028186523222475,1.15435037200198,0.248356552804379,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000186583234106502,0.000849556572448116
01116000,-0.0018328272934338,-3.4797808315422,0.00050182412250329,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00263182208550203,-0.000864978529501991
01117000,0.000285398892896594,1.17108008753824,0.241566586968973,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00019735713401095,0.00084990932594953
01117500,0.000527934662099489,4.53375291032661,0.00000579448097833488,0,two.sided,trend_timeSeries,Sen's slope,50,0.000305643926154334,0.00071449464619418
01118000,0.000266560864193433,1.13762065646572,0.255278917379629,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000113641900167113,0.000738473930504709
01118300,0.000171698501146668,0.368053741797733,0.712833162190734,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000738368433375411,0.00120990622972665
01118500,0.000519543587358922,3.36267282278837,0.000771917913016484,0,two.sided,trend_timeSeries,Sen's slope,50,0.000225630537614128,0.000787508494750907
01119500,-0.000442638565860499,-1.40529610504589,0.159933246094459,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00116598924794286,0.000202565680166273
01121000,-0.00065002347546525,-1.47221496719093,0.140962836913241,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00156542633398033,0.000239113097019363
01122500,-0.000163696646489997,-0.786296630204247,0.431693726220145,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000594279203040062,0.000290180762106
01123000,0.000243574078790213,0.501891466087817,0.615743868576716,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000934486460879062,0.00131265486333558
01129200,0.000462000184571036,2.54291676151161,0.0109931414063229,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000969027471693054,0.000753766172859773
01134500,0.00128013771168933,3.16191623635325,0.00156734642073783,0,two.sided,trend_timeSeries,Sen's slope,50,0.000480032493641665,0.00223066273606173
01135500,0.000420865241903735,1.38856638950963,0.164964643698312,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000166005929268125,0.00112718132084656
01137500,0.000811085211501636,1.35510695843711,0.175383482028116,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000199114821264473,0.00177538993926854
01139000,0.00094009565108029,2.87751107223682,0.00400825843713099,0,two.sided,trend_timeSeries,Sen's slope,50,0.000304390110615801,0.00154396874985537
01139800,0.000397988560979394,1.17108008753824,0.241566586968973,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000327516214586765,0.00114643000894249
