site_no,rbiValue_1970,rbiValue_2020
01154500,0.193478001146535,0.176646654485339
01161000,0.110104015665929,0.151551013887864
01162000,0.109299808892266,0.134587355561134
01162500,0.147710544665685,0.21581171700013
01163200,0.126058656015385,0.201871710088496
01166500,0.0985464682735439,0.128328832353213
01169000,0.253448862964708,0.324987104635603
01169900,0.263100016110166,0.294996693850562
01170100,0.237496239255696,0.341671240880775
01170500,0.175109368212185,0.191508579974811
01171500,0.226173270809722,0.314318969247308
01173500,0.113552009860987,0.167103023123561
01174500,0.149681157392835,0.199745109563657
01177000,0.114663992890185,0.116860275820368
01181000,0.271326512912706,0.353246235992582
01183500,0.191019465234406,0.214682816731967
01184000,0.122909645305156,0.159212510622004
01185500,0.199421090116746,0.231642932654995
01187300,0.315315785938701,0.404082155788394
01196500,0.18275543451831,0.261244239568151
01197000,0.228214132148488,0.330018761939805
01197500,0.122195680240499,0.182315859928491
01200500,0.11504682337231,0.125803866539866
01205500,0.281940254938212,0.226427542526638
01208500,0.248937857762092,0.267706070105879
01208990,0.238072140739885,0.27693542956733
01209700,0.329664969177164,0.317938526564721
01305000,0.0509803921568627,0.0211793444728459
01305500,0.0755000835794283,0.0378636678549963
01311500,1.56773457902674,0.344322860238353
01315000,0.0497346992079217,0.028054836382157
01315500,0.120594424386704,0.225588088666043
01318500,0.0955112939925499,0.146602132819197
01321000,0.170458404074703,0.32227340245423
01325000,0.312807255935218,0.116158780411126
01331500,0.180616365568544,0.266749951762232
01332500,0.21311494359164,0.307064075123889
01333000,0.21044649493592,0.304043795499321
01334000,0.218949267078221,0.30391228768799
01334500,0.211784273353725,0.268300792284217
01336000,0.0794567253390205,0.150145029666589
01346000,0.133500742475643,0.175008482615831
01347000,0.132561369779655,0.199107169813168
01350000,0.327929810752309,0.389903040492893
01351500,0.255478922685949,0.270697072966923
01357500,0.178866035402404,0.240530810732156
01362200,0.226538580823704,0.231591628543244
01362500,0.188521093992348,0.267344887283829
01365000,0.244332075113358,0.335806466522511
01371500,0.197401886262275,0.251557248057552
01372500,0.179624350461894,0.168562843431843
01375000,0.206003014118207,0.170708571905725
01376800,0.255087879669257,0.300631723878505
01377000,0.308299472233899,0.186772426626922
01377500,0.424324021092786,0.411835689306999
01378500,0.829722639785422,0.446306815995343
01379000,0.291846167225584,0.20961728795129
01379500,0.223944151902986,0.160973327920072
01381000,0.313871252913285,0.267892029009769
01381500,0.418518518518519,0.389417566932832
01383500,0.197984642111564,0.144926774085058
01387500,0.291030982138582,0.25620633974907
01388000,0.287048931449258,0.226379004744776
01388500,0.262040125027951,0.213814818976353
01389500,0.161887101735788,0.11551988051555
01391500,0.545490267990465,0.428262004175365
01393450,1.09556302368355,0.850001537385011
01394500,1.09836897484082,0.778597964085922
01395000,0.953239779033812,0.656747978402231
01396500,0.319481655640002,0.352412763774538
01397000,0.348711972738669,0.287385862954453
01398000,0.907638103235693,0.740666589130543
01399500,0.203671851476041,0.187980629492239
01400000,0.527618374558304,0.461469356203449
01400500,0.45810295116489,0.384932282275986
01401000,0.775878601222598,0.667080306606998
01402000,0.535492775754728,0.394281157073812
01403060,0.517549537212864,0.419838951444986
01405400,0.349239500567537,0.329063158750113
01407500,0.611171605486829,0.537957796854773
01407705,0.711364810668504,0.465344578215079
01407760,0.771445806082926,0.65116456583362
01408000,0.44383445945946,0.35751379995584
01408500,0.122136837806734,0.0964054241503838
01409400,0.138681860962023,0.0761784538482521
