site_no,tau,estimates,S,sl,p.value
01181000,-0.1542857,-0.00128431210932454,-189,0.115813,0.115813029236007
01183500,0.05306122,1.80382964624689e-4,65,0.59240723,0.592407237522452
01184000,0.1542857,2.63254126176263e-4,189,0.115813,0.115813029236007
01185500,-0.1346939,-4.8391527727909e-4,-165,0.1701143,0.170114287657054
01187300,-0.0155102,-1.27639636006375e-4,-19,0.880317,0.880316947769583
01196500,0.04489796,1.61087328424092e-4,55,0.65148342,0.651483447052109
01197000,-0.07755102,-4.24486752632153e-4,-95,0.43169373,0.431693726220145
01197500,0.04653061,1.12446390092125e-4,57,0.63947558,0.639475663584923
01200500,-0.1395918,-3.22926050920776e-4,-171,0.1550188,0.155018755312122
01205500,-0.42204082012,-0.002402890710514,-517,1.586903e-5,1.58690298603104e-5
01208500,0.204898,5.78090481968547e-4,251,0.0365088,0.0365088452869771
01208990,-0.07428572,-4.02216346397363e-4,-91,0.45154774,0.451547750080907
01209700,-0.08897959,-3.88339600428356e-4,-109,0.36631119,0.366311178847137
01305000,-0.21469387,-2.28962309579255e-4,-263,0.02840893,0.02840892697893
01305500,-0.5167347192764,-0.00112770991589745,-633,1.246175e-7,1.24617443604005e-7
01311500,-0.7061224579811096,-0.0278839703576967,-865,4.929183e-13,4.92919062960762e-13
01315000,-0.1134694,-2.38007729336173e-4,-139,0.2483565,0.248356552804379
01315500,0.21959184,5.27422806677001e-4,269,0.02497542,0.0249754727739968
01318500,0.1102041,1.91532010978374e-4,135,0.2623343,0.262334287449941
01321000,0.1379592,3.94002713724045e-4,169,0.1599332,0.159933246094459
01325000,-0.4155102074,-0.002712947853921,-509,2.14394e-5,2.14393872282921e-5
01331500,-0.05795918,-2.05569152000115e-4,-71,0.55818462,0.558184649422657
01332500,0.06938776,2.74405530486777e-4,85,0.48227501,0.482275108504501
01333000,-0.2032653,-0.00102961974395057,-249,0.0380343,0.0380343157958867
01334000,-0.02367347,-7.67610516939326e-5,-29,0.81481725,0.814817280649534
01334500,-0.1053061,-3.63424654616999e-4,-129,0.2843035,0.284303535743958
01336000,0.12,4.4601750366205e-4,147,0.221984,0.221984098056913
01346000,0.005714286,1.72936865654084e-5,7,0.959971666,0.959971660406615
01347000,0.04816326,7.7760108287625e-5,59,0.62756157,0.627561611989235
01350000,-0.08897959,-7.89425994989087e-4,-109,0.36631119,0.366311178847137
01351500,-0.257142872,-0.00164462628153517,-315,0.008625146,0.00862514315193095
01357500,0.03346939,1.2783049255885e-4,41,0.73793113,0.737931137172418
01362200,-0.1297959,-8.51776166191004e-4,-159,0.1862856,0.186285549238115
01362500,0.0155102,1.34921128084824e-4,19,0.880317,0.880316947769583
01365000,-0.0122449,-9.02624924889283e-5,-15,0.9067745,0.90677446334059
01371500,0.01061224,2.30623060798339e-5,13,0.92004395,0.920044002220843
01372500,-0.1265306,-4.16908848836811e-4,-155,0.1976805,0.197680494654529
01375000,-0.16571428,-6.71508392267257e-4,-203,0.09108514,0.0910851203409287
01376800,0.19346939,0.00198206563240821,237,0.04836965,0.0483696419955999
01377000,-0.05795918,-4.84423315619464e-4,-71,0.55818462,0.558184649422657
